"","source","target","flagBL","weight","generation"
"49",1,819,TRUE,0.147997778317043,1
"50",1,820,TRUE,0.227084318768892,1
"51",1,186,FALSE,0.415426668087641,1
"52",1,488,TRUE,0.530645408212458,1
"53",1,66,FALSE,0.299565089930145,1
"54",1,821,FALSE,0.259384846943768,1
"55",1,176,TRUE,0.497756690200117,1
"56",1,822,TRUE,0.356295154107599,1
"57",1,823,TRUE,0.454980165464954,1
"58",1,824,TRUE,0.277065263110444,1
"59",1,304,TRUE,0.359543697567366,1
"60",1,825,TRUE,0.367742266094588,1
"61",1,826,TRUE,0.439372768166117,1
"62",1,827,TRUE,0.348773169398369,1
"63",1,828,TRUE,0.377100298621521,1
"64",1,829,TRUE,0.498947107927476,1
"65",1,4,TRUE,0.50628033793913,1
"66",1,830,TRUE,0.294995779803044,1
"67",1,55,TRUE,0.5084887624124,1
"68",1,831,FALSE,0.245401629287159,1
"69",1,832,TRUE,0.323801078999706,1
"70",1,833,FALSE,0.369353650270139,1
"71",1,418,FALSE,0.283601346281155,1
"72",1,24,TRUE,0.555898257426683,1
"73",1,112,TRUE,0.360906448307349,1
"74",1,834,TRUE,0.544133374081959,1
"75",1,835,FALSE,0.150575233187678,1
"76",1,836,TRUE,0.44947474912032,1
"77",1,837,TRUE,0.327528547210144,1
"78",1,536,FALSE,0.283814869518366,1
"79",1,50,TRUE,0.443118034675239,1
"80",1,7,TRUE,0.458999866252944,1
"81",1,109,TRUE,0.551830018859489,1
"82",1,838,FALSE,0.210970077438573,1
"83",1,839,TRUE,0.131275531445956,1
"84",1,840,TRUE,0.240072185663136,1
"85",1,9,TRUE,0.481829453786178,1
"86",1,47,TRUE,0.461724610645849,1
"87",1,841,FALSE,0.340877647343846,1
"88",1,724,FALSE,0.291511568228848,1
"89",1,2,FALSE,0.555820849793521,1
"90",1,450,TRUE,0.516975117636211,1
"91",1,842,TRUE,0.404215711236313,1
"92",1,843,FALSE,0.187010599954969,1
"93",1,462,TRUE,0.367782203137247,1
"94",1,339,TRUE,0.393876840607708,1
"95",1,844,TRUE,0.254321706404949,1
"96",1,845,TRUE,0.40245042268648,1
"97",1,245,FALSE,0.416758424598011,1
"98",1,356,TRUE,0.342730186505565,1
"99",1,846,TRUE,0.338527391111435,1
"100",1,847,FALSE,0.400505488015706,1
"101",1,848,TRUE,0.472823829421869,1
"102",1,202,TRUE,0.496977788333623,1
"103",1,849,TRUE,0.456020764758944,1
"104",1,850,TRUE,0.373985119817886,1
"105",1,14,TRUE,0.424595896805864,1
"106",1,851,TRUE,0.405953585288393,1
"107",1,852,TRUE,0.215856800904516,1
"108",1,853,TRUE,0.370499129576522,1
"109",1,18,FALSE,0.468351504209458,1
"110",1,244,TRUE,0.487280203711266,1
"111",1,33,TRUE,0.547804583992593,1
"112",1,246,FALSE,0.4767417434584,1
"113",1,854,TRUE,0.421689834855128,1
"114",1,196,TRUE,0.387397336829902,1
"115",1,58,TRUE,0.534390495898799,1
"116",1,375,TRUE,0.36434171858677,1
"117",1,8,TRUE,0.538495078113572,1
"118",1,855,TRUE,0.427659144058153,1
"119",1,856,TRUE,0.384344284111824,1
"120",1,678,TRUE,0.317507587829393,1
"121",1,857,TRUE,0.408485610566013,1
"122",1,456,TRUE,0.458128362251627,1
"123",1,25,TRUE,0.344744914186864,1
"124",1,858,TRUE,0.441762811808763,1
"125",1,859,TRUE,0.366568982203717,1
"126",1,348,FALSE,0.522924593440355,1
"127",1,195,TRUE,0.473613229602869,1
"128",1,159,TRUE,0.408474707664353,1
"129",1,860,TRUE,0.337080029779351,1
"130",1,74,TRUE,0.475805811969733,1
"131",2,861,FALSE,0.329586915599532,1
"132",2,862,FALSE,0.211439484589529,1
"133",2,863,TRUE,0.263518553721191,1
"134",2,864,TRUE,0.335805137206621,1
"135",2,865,TRUE,0.341304724257168,1
"136",2,4,TRUE,0.783603468697792,1
"137",2,866,FALSE,0.270458710504022,1
"138",2,867,TRUE,0.484796835180992,1
"139",2,868,FALSE,0.545296122949239,1
"140",2,869,FALSE,0.314153473090749,1
"141",2,870,TRUE,0.46290012156286,1
"142",2,871,TRUE,0.283030906287172,1
"143",2,57,TRUE,0.645842076639333,1
"144",2,78,TRUE,0.455432329499357,1
"145",2,872,TRUE,0.458039508551607,1
"146",2,159,TRUE,0.421745682670626,1
"147",2,873,TRUE,0.345655859030531,1
"148",2,874,TRUE,0.428056669204861,1
"149",2,875,TRUE,0.534494147909689,1
"150",2,348,FALSE,0.601732649442593,1
"151",2,876,FALSE,0.291042858124177,1
"152",2,877,TRUE,0.310219184892186,1
"153",2,452,TRUE,0.290655337755726,1
"154",2,449,FALSE,0.417623057481924,1
